scrip,ldcp,open_,high,low,current,change,volume
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AL-Ghazi Tractors,402.41,386.0,409.0,370.0,389.85,-13.88,"31,919"
Atlas Honda Ltd,"1,166.02",1167.0,1179.9,1160.0,1169.8,3.15,"8,848"
Dewan Motors,32.75,33.75,36.03,33.5,36.03,3.28,"5,440,689"
Ghandhara Automobile,478.59,479.0,486.0,470.0,476.0,-5.78,"1,491,532"
Ghandhara Ind.,707.30,708.0,715.98,689.0,689.0,-16.23,"663,397"
Hinopak Motor,342.24,343.0,345.0,334.0,334.0,-7.58,"8,961"
Honda Atlas Cars,284.38,287.0,292.64,283.01,286.5,1.72,"795,537"
Indus Motor Co.XD,"1,935.55",1935.0,1948.0,1930.0,1930.0,-4.74,"5,872"
Millat Tractors,588.19,592.0,592.0,580.0,586.0,-4.86,"82,988"
Sazgar Engineering,"1,318.54",1322.86,1340.0,1306.0,1313.0,-4.25,"573,413"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agriautos Ind.,110.00,110.03,114.99,107.5,110.49,-0.76,"34,521"
Atlas Battery,257.00,258.99,259.99,251.0,253.56,-2.34,"46,873"
Bal.Wheels,134.53,134.53,135.9,134.0,134.49,-0.46,"2,919"
Bela Automotive,132.60,132.82,142.99,132.81,135.01,2.51,812
Dewan Auto Engg,28.05,28.3,28.97,28.29,28.51,0.65,"8,515"
Exide (PAK),781.68,788.88,835.0,780.0,815.2,35.48,"12,994"
Ghandhara Tyre,36.90,36.99,38.0,36.99,37.4,0.32,"432,603"
Loads Limited,14.86,14.9,15.25,14.0,14.2,-0.73,"2,861,575"
Panther Tyres Ltd.,40.03,40.88,41.88,37.26,37.26,-1.4,"295,880"
Thal Limited,387.40,388.0,388.0,361.0,384.99,-3.09,"9,113"
Treet Battery Ltd.,10.96,10.99,11.09,10.8,11.08,0.08,"1,282,183"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
EMCO Industries,41.78,41.0,41.5,38.51,39.21,-1.25,"4,670"
Fast Cables Ltd.,21.54,21.8,22.4,21.47,21.47,0.07,"4,717,127"
Pak Elektron,45.30,45.4,46.41,44.8,46.41,0.83,"7,233,596"
Pakistan Cables-,154.18,154.7,155.0,151.0,151.0,-3.12,"19,511"
Siemens Pak.,"1,500.91",1500.0,1515.0,1500.0,1515.0,14.09,969
Waves Corp Ltd.,7.50,7.5,7.6,6.51,7.3,-0.41,"2,207,740"
Waves Home App,9.05,9.16,9.23,8.88,9.04,-0.1,"1,580,973"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Cement,278.70,279.0,301.0,276.0,294.0,15.12,"611,054"
Bestway Cement,403.28,401.0,405.0,401.0,403.0,-0.53,"15,544"
Cherat Cement,274.22,274.89,279.0,269.09,269.8,-4.13,"1,044,409"
D.G.K.Cement,150.74,150.01,154.45,146.4,148.5,-3.26,"19,418,708"
Dadabhoy Cement,4.80,4.88,4.88,4.5,4.5,-0.29,"53,778"
Dandot Cement,14.25,14.3,14.95,14.25,14.55,0.09,"113,530"
Dewan Cement,10.44,10.6,10.78,10.21,10.6,0.09,"7,198,267"
Fauji Cement,47.53,47.53,49.85,47.2,47.89,0.33,"36,170,971"
Fecto Cement,72.03,73.0,76.0,72.2,73.78,1.62,"129,378"
Flying Cement,40.87,42.8,44.96,42.3,44.96,4.09,"2,016,430"
Gharibwal CementXD,41.03,41.49,43.25,40.5,42.0,0.97,"1,826,486"
Kohat Cement,384.11,382.01,389.9,375.0,380.0,-4.02,"97,283"
Lucky Cement,351.19,364.95,364.95,343.0,353.01,-0.09,"5,816,281"
Maple Leaf,75.92,75.92,77.5,74.8,75.25,-0.61,"13,457,427"
Pioneer Cement,217.96,218.0,219.75,214.56,215.01,-2.37,"198,153"
Power Cem(Pref),15.35,16.89,16.89,16.89,16.89,0.66,100
Power Cement,15.13,15.15,15.55,14.8,15.15,0.05,"19,235,608"
Safe Mix Con.Ltd,16.43,16.7,17.24,16.7,16.72,0.33,"82,832"
Thatta Cement,179.68,179.68,187.7,176.0,187.0,4.76,"1,498,966"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Archroma Pak,418.06,421.03,421.03,415.0,418.0,-2.49,"5,178"
Bawany Air Pro(DEF.),33.18,34.84,36.5,33.0,36.5,3.32,"200,071"
Berger Paints,91.80,92.33,93.5,91.15,92.0,0.32,"44,522"
Biafo IndustriesXD,174.84,170.05,181.0,170.05,178.51,3.95,"28,683"
Buxly Paints,111.01,108.0,111.0,108.0,111.0,-0.21,"1,429"
Data Agro,80.18,82.25,84.25,82.25,84.0,3.18,"1,860"
Descon Oxychem,25.52,25.42,27.5,25.25,26.85,1.09,"2,460,184"
Dynea Pakistan,217.41,222.99,228.0,216.0,227.0,8.32,"58,448"
Engro Poly (Pref),11.87,0,0,0,0,,500
Engro Polymer,29.98,30.25,30.75,30.05,30.64,0.62,"730,844"
Ghani Chemical,17.31,17.4,19.04,16.86,19.04,1.66,"14,070,931"
Ghani Chemworld,7.14,7.28,8.14,6.88,8.14,1.0,"6,264,853"
Ghani Glo Hol,12.77,12.81,14.0,12.57,14.0,1.03,"6,039,425"
Ittehad Chemicals,75.04,72.01,73.99,67.54,73.0,-2.12,"13,961"
Leiner Pak Gelat,106.77,109.99,109.99,104.55,106.0,-0.84,"17,610"
Lotte Chemical,18.39,18.4,19.82,18.05,19.29,0.99,"3,788,041"
Lucky Core Ind.,"1,557.37",1588.7,1588.9,1560.0,1561.5,6.36,"54,704"
Nimir Ind.ChemXD,152.90,153.85,157.95,148.05,149.99,-2.89,"13,281"
Nimir Resins,32.68,33.0,35.95,32.9,35.95,3.26,"1,632,524"
Pak Oxygen Ltd.,156.33,154.0,159.99,153.0,156.9,-0.47,"7,958"
Pak.P.V.C.,7.40,7.1,7.1,7.1,7.1,,6
Sardar Chemical,33.41,33.3,33.3,33.3,33.3,,1
Sitara Chemical,449.97,445.0,445.0,445.0,445.0,-4.97,150
Sitara Peroxide,12.38,11.75,12.5,11.75,12.25,-0.13,"67,220"
Wah-Noble,230.00,225.01,229.99,225.01,229.99,,39
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
HBL Growth Fund,9.31,9.5,9.69,9.16,9.52,0.2,"682,626"
HBL Invest Fund,3.40,3.42,3.55,3.2,3.4,-0.02,"399,992"
Tri-Star Mutual,8.12,8.94,8.94,7.77,8.78,0.68,"1,481"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Allied Bank LtdXD,127.84,127.0,128.5,126.72,127.55,-0.81,"70,328"
Askari Bank,44.01,44.45,45.0,43.25,43.77,-0.39,"1,789,312"
B.O.Punjab,9.96,10.0,10.1,9.7,9.92,-0.05,"16,672,255"
Bank Al-Falah,74.65,74.56,74.85,73.0,73.51,-1.42,"1,116,299"
Bank AL-HabibXD,140.01,140.0,140.5,137.9,138.59,-1.96,"129,083"
Bank Makramah,3.51,3.45,3.69,3.42,3.51,-0.02,"610,065"
Bank Of Khyber,14.80,15.4,15.4,14.07,14.66,-0.11,"9,759"
Bankislami Pak,19.75,19.76,19.96,19.51,19.79,,"892,883"
Faysal BankXD,47.90,47.99,48.18,47.47,47.87,-0.19,"1,405,264"
Habib BankXD,158.05,159.0,159.8,155.25,156.0,-1.98,"4,540,806"
Habib MetropolitanXD,88.09,88.68,89.49,88.04,89.49,0.84,"12,481"
JS Bank Ltd,8.19,8.41,8.41,8.2,8.3,0.11,"22,139"
MCB Bank LtdXD,286.51,287.0,287.0,279.05,280.0,-5.64,"352,747"
Meezan Bank LtdXD,275.92,277.45,284.0,275.0,281.0,4.32,"1,864,130"
National BankXD,88.07,88.4,88.8,85.1,87.45,-1.28,"2,732,597"
Samba Bank,9.27,9.6,9.6,8.57,8.72,-0.52,"7,666"
Soneri Bank Ltd,15.91,15.9,16.27,15.9,16.2,0.29,"518,419"
St.Chart.Bank,59.46,58.15,60.59,58.15,59.8,0.3,"5,718"
United Bank,495.26,493.99,510.98,490.06,499.22,4.57,"2,205,841"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agha Steel Ind.,7.54,7.59,7.59,7.35,7.53,-0.04,"578,844"
Aisha Steel Mill,10.31,10.35,10.48,10.21,10.3,0.02,"1,401,593"
Aisha StelCoP/S,15.00,13.5,16.5,13.5,13.55,,45
Amreli Steels,20.49,20.69,20.69,20.22,20.3,-0.17,"28,601"
Beco Steel Ltd,9.00,9.0,9.08,8.65,8.94,-0.22,"225,967"
Bolan Casting,92.72,92.3,95.95,85.2,92.0,-1.28,"83,341"
Crescent SteelXD,116.32,116.8,117.38,115.0,116.2,-0.21,"385,835"
Dadex Eternit,63.18,63.0,63.0,61.0,61.06,-1.19,"3,553"
Dost Steels Ltd.,8.46,8.16,8.9,8.16,8.69,0.21,"294,258"
Int. Ind.Ltd.,142.87,144.0,145.49,140.2,143.0,0.73,"95,841"
Inter.Steel Ltd,75.18,74.45,74.98,73.4,73.4,-1.35,"133,320"
Ittefaq Iron Ind,6.89,6.9,7.25,6.66,7.24,0.25,"782,205"
K.S.B.Pumps,165.13,162.3,166.9,162.11,164.01,-0.76,"177,538"
Metro Steel,8.86,9.2,9.37,8.63,9.32,0.27,"1,687"
Mughal Iron,65.97,65.4,67.25,65.3,67.0,0.81,"300,605"
Pak Engineering,718.35,719.0,729.98,718.0,718.0,0.7,570
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
HBL Total Treasury,117.65,117.7,117.7,117.7,117.7,0.05,"1,900"
JS Global Banking,21.93,22.0,23.15,21.89,22.01,0.08,"39,500"
JS Momentum,11.25,11.11,11.6,11.05,11.6,0.32,"3,436,500"
Mahaana Islamic,15.47,15.5,15.5,15.11,15.3,-0.2,"182,500"
Meezan Pakistan,17.29,17.18,17.45,17.05,17.35,0.01,"311,500"
NBP Pakistan G ETF,23.42,23.42,23.42,23.42,23.42,,500
NIT Pakistan,25.24,25.01,26.5,25.01,26.5,1.26,"4,500"
UBLPakistanETF,26.68,26.5,27.87,26.5,26.56,-0.12,"18,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agritech Limited,50.97,54.69,56.07,52.75,56.07,5.1,"287,913"
Arif Habib Corp,10.85,10.8,10.89,10.61,10.79,-0.15,"840,644"
Engro FertertXD,179.16,177.0,179.49,176.61,179.05,-1.13,"1,088,633"
Fatima Fert,82.96,82.96,86.7,82.6,86.07,3.05,"2,093,769"
Fauji FertXD,368.79,369.9,378.6,365.01,373.5,3.57,"10,549,653"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Al-Shaheer Corp,6.88,7.2,7.86,7.16,7.75,0.84,"13,455,196"
At-Tahur Ltd.,40.76,40.0,44.84,39.5,44.84,4.08,"38,761,905"
Barkat Frisian Agro,28.63,28.88,29.9,28.3,28.68,0.01,"4,747,186"
Big Bird Foods Ltd.,50.16,50.5,50.5,48.5,49.7,-0.29,"4,534,070"
Bunnys Limited,25.46,26.0,28.01,24.89,28.01,2.55,"5,398,766"
Clover Pakistan,37.02,37.19,37.9,36.15,37.3,0.32,"345,331"
Colgate Palm,"1,346.29",1346.0,1360.0,1325.0,1360.0,0.13,"4,420"
Fauji Foods Ltd,14.49,14.65,14.85,14.42,14.7,0.19,"8,167,618"
Frieslandcampina,95.48,96.16,104.0,96.0,100.01,5.31,"4,021,493"
Gillette Pak,258.51,258.0,284.36,247.06,275.1,21.59,"16,644"
Ismail Ind-,"1,668.33",1705.0,1709.7,1685.14,1685.14,36.92,15
Matco Foods Ltd,39.06,38.0,39.49,38.0,38.0,-0.83,"5,465"
MithchellsFruit,177.05,179.95,189.0,176.65,183.1,6.28,"76,357"
Murree Brewery,835.11,840.0,840.0,825.0,839.0,-9.64,"1,222"
National FoodsXD,251.22,253.0,256.0,247.3,251.55,1.13,"257,953"
Nestle Pakistan,"7,074.09",7074.09,7080.0,6916.0,7080.0,-1.0,47
Quice Food,6.72,6.86,6.86,6.52,6.73,-0.02,"554,711"
Rafhan Maize,"8,911.00",8899.9,9000.0,8806.0,8995.0,80.28,303
Shezan Inter.,176.34,172.06,178.5,162.0,178.5,-0.3,"26,192"
Shield Corp.,278.63,278.0,278.0,269.01,275.0,,73
The Organic Meat,30.14,30.6,31.37,30.1,31.3,1.02,"1,023,717"
Treet Corp,19.23,19.25,19.45,18.91,19.43,0.03,"3,128,815"
Unilever FoodsXD,"22,912.50",23199.0,23199.0,22500.0,22796.0,-236.35,89
Unity Foods Ltd,26.13,26.15,27.99,26.13,27.22,1.22,"3,265,117"
ZIL Limited,282.89,283.49,288.5,270.0,280.0,-11.19,295
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AICL-MAYB,46.87,47.0,47.0,47.0,47.0,0.13,"7,000"
AGHA-MAY,7.57,7.5,7.5,7.45,7.5,-0.07,"81,500"
AGP-MAYB,186.00,183.0,183.0,183.0,183.0,-3.0,"2,500"
AGL-MAY,51.01,53.5,56.11,53.4,56.11,5.1,"51,000"
AIRLINK-MAY,155.63,156.25,157.0,154.2,155.5,0.09,"296,000"
