CATEGORY,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AUTOMOBILE ASSEMBLER,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AUTOMOBILE ASSEMBLER,AL-Ghazi Tractors,388.58,386.11,427.44,386.11,427.44,38.86,"63,412"
AUTOMOBILE ASSEMBLER,Atlas Honda Ltd,"1,149.99",1157.7,1165.0,1144.0,1144.98,-4.16,"6,899"
AUTOMOBILE ASSEMBLER,Dewan Motors,37.25,37.48,37.48,36.2,36.29,-0.91,"1,878,172"
AUTOMOBILE ASSEMBLER,Ghandhara Automobile,478.30,478.3,479.8,471.1,472.99,-5.83,"331,180"
AUTOMOBILE ASSEMBLER,Ghandhara Ind.,695.78,695.0,699.0,685.0,685.99,-9.52,"195,793"
AUTOMOBILE ASSEMBLER,Hinopak Motor,368.13,384.0,398.0,375.0,390.0,17.61,"64,667"
AUTOMOBILE ASSEMBLER,Honda Atlas Cars,301.33,304.99,307.5,294.01,298.47,-2.36,"1,128,536"
AUTOMOBILE ASSEMBLER,Indus Motor Co.XD,"1,938.22",1949.5,1949.5,1903.11,1934.0,-12.08,"31,477"
AUTOMOBILE ASSEMBLER,Millat Tractors,580.34,582.0,586.6,579.0,579.5,0.45,"88,038"
AUTOMOBILE ASSEMBLER,Sazgar Engineering,"1,315.57",1303.07,1316.44,1295.0,1301.0,-15.75,"113,015"
AUTOMOBILE PARTS & ACCESSORIES,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AUTOMOBILE PARTS & ACCESSORIES,Agriautos Ind.,110.64,111.05,113.99,110.0,111.0,0.05,"34,705"
AUTOMOBILE PARTS & ACCESSORIES,Atlas Battery,280.13,280.99,286.0,277.0,277.01,-2.46,"92,910"
AUTOMOBILE PARTS & ACCESSORIES,Bal.Wheels,132.16,135.02,135.02,133.0,134.0,0.86,"2,501"
AUTOMOBILE PARTS & ACCESSORIES,Bela Automotive,135.47,136.01,140.0,122.02,132.0,2.74,"5,712"
AUTOMOBILE PARTS & ACCESSORIES,Dewan Auto Engg,29.09,29.64,30.48,28.22,28.8,-0.24,"2,097"
AUTOMOBILE PARTS & ACCESSORIES,Exide (PAK),855.02,858.98,858.98,818.0,829.95,-28.77,"16,767"
AUTOMOBILE PARTS & ACCESSORIES,Ghandhara Tyre,39.56,39.26,39.44,37.36,37.99,-1.75,"378,369"
AUTOMOBILE PARTS & ACCESSORIES,Loads Limited,14.32,14.49,14.85,14.38,14.46,0.2,"2,232,821"
AUTOMOBILE PARTS & ACCESSORIES,Panther Tyres Ltd.,38.70,38.51,39.2,38.5,38.5,-0.2,"177,284"
AUTOMOBILE PARTS & ACCESSORIES,Thal Limited,381.22,380.0,385.0,360.0,367.21,-9.31,"28,571"
AUTOMOBILE PARTS & ACCESSORIES,Treet Battery Ltd.,11.37,11.39,11.6,11.37,11.56,0.1,"1,109,491"
CABLE & ELECTRICAL GOODS,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
